log_population,log_density,birth_rate,death_rate,life_expectancy,infant_mortality,log_gdp,log_gdp_pc,unemployment,electricity_consumption,internet_users,year,years_since_1970,growth_rate,Region_Europe & Central Asia,Region_Latin America & Caribbean,Region_Middle East & North Africa,Region_North America,Region_South Asia,Region_Sub-Saharan Africa,Income_High income: nonOECD,Income_Low income,Income_Lower middle income,Income_Upper middle income,life_exp_x_gdp_pc,birth_rate_x_internet
15.612207816221954,3.3515378396933357,50.619,23.872,40.914,,,,,,,1970,0,1.0315,False,False,False,False,False,True,False,False,False,True,,
15.935379656384011,3.3515378396933357,50.134,20.467,44.178,140.7,22.503374363433604,6.566647113027078,,60.6621,,1980,10,1.0315,False,False,False,False,False,True,False,False,False,True,290.1013361593102,
16.286034098303663,3.3515378396933357,50.383,19.555,45.306,132.0,23.14174774335317,6.8540422172122035,,53.1718,0.0,1990,20,1.0315,False,False,False,False,False,True,False,False,False,True,310.52923669301606,0.0
16.612429754059377,3.3515378396933357,48.15,18.036,46.522,122.2,22.934786623644616,6.322270762102568,22.885,75.2647,0.105046,2000,30,1.0315,False,False,False,False,False,True,False,False,False,True,294.1246803945357,5.0579649
16.966714852275686,3.3515378396933357,45.656,11.68,55.35,76.0,25.151692877829536,8.185316777803344,9.089,206.454,2.8,2010,40,1.0315,False,False,False,False,False,True,False,False,False,True,453.0572836514151,127.83679999999998
17.152266160475868,3.3515378396933357,42.52,9.052,59.398,57.8,25.476856028052776,8.334946831794904,7.279,,12.4,2015,45,1.0315,False,False,False,False,False,True,False,False,False,True,495.0791719149537,527.248
11.074668534037073,5.357215793464603,27.229,7.326,65.847,,,,,,,1970,0,1.0058,False,True,False,False,False,False,True,False,False,False,,
11.08041798575018,5.357215793464603,18.047,6.695,68.482,,18.693992557042197,7.661282345530794,,,,1980,10,1.0058,False,True,False,False,False,False,True,False,False,False,524.6599375866398,
11.056082848402292,5.357215793464603,18.659,6.98,71.52,23.6,19.9455820328487,8.902212025131865,,,0.0,1990,20,1.0058,False,True,False,False,False,False,True,False,False,False,636.6862040374309,0.0
11.225976457094276,5.357215793464603,19.84,6.216,73.94,13.1,20.537127806673503,9.298424506688768,,,6.48223,2000,30,1.0058,False,True,False,False,False,False,True,False,False,False,687.5255080245674,128.6074432
11.358549759826673,5.357215793464603,16.547,6.055,75.823,7.7,20.86517330212752,9.479764273844268,,,47.0,2010,40,1.0058,False,True,False,False,False,False,True,False,False,False,718.7841665356939,777.7090000000001
11.406909178786348,5.357215793464603,15.883,6.227,76.483,5.7,21.03015477102595,9.583736730558842,,,70.0,2015,45,1.0058,False,True,False,False,False,False,True,False,False,False,732.992936363332,1111.81
